column,dtype,source,definition,unit,null_pct,example,notes
city,str,Phase B,City label.,barcelona|london,0.0,barcelona,
geo_key,str,Phase B,Neighbourhood key (subdivision or borough).,string,0.0,Can Baró,Join key for geojson choropleths after applying subdivision_name_map.csv.
geo_level,str,Phase B,Resolution of geo_key.,subdivision|neighborhood,0.0,subdivision,
str_density,int64,Phase B,Total listings in the neighbourhood.,count,0.0,7,Q1 metric.
active_listings,int64,Phase B,Listings active in last 12 months.,count,0.0,6,
active_share,float64,Phase B,active_listings / str_density.,ratio 0–1,0.0,0.857,
entire_home_count,int64,Phase B,Listings flagged entire-home.,count,0.0,4,
entire_home_share,float64,Phase B,entire_home_count / str_density.,ratio 0–1,0.0,0.571,Q2 — primary displacement proxy.
commercial_host_share,float64,Phase B,Share of listings owned by commercial+super-commercial hosts (≥5 listings).,ratio 0–1,0.0,0.143,Q3 metric.
multi_listing_host_count,int64,Phase B,Listings whose host owns ≥2 listings.,count,0.0,3,
multi_listing_host_share,float64,Phase B,multi_listing_host_count / str_density.,ratio 0–1,0.0,0.429,
median_nightly_price,float64,Phase B,Median TTM nightly rate.,currency,4.6,81.6,Q4 metric.
p25_price,float64,Phase B,25th percentile nightly rate.,currency,4.6,72.25,
p75_price,float64,Phase B,75th percentile nightly rate.,currency,4.6,153.75,
avg_occupancy,float64,Phase B,Mean l90d_occupancy across listings.,ratio 0–1,4.6,0.195,
total_revenue,float64,Phase B,Sum of ttm_revenue across listings.,currency,0.0,154039.0,
breach_count_90,int64,Phase B,Entire homes with ttm_days_booked > 90.,count,0.0,2,Q7 — listings impacted at a 90-night cap.
breach_count_60,int64,Phase B,Entire homes with ttm_days_booked > 60.,count,0.0,3,Q7 stretch scenario.
breach_count_30,int64,Phase B,Entire homes with ttm_days_booked > 30.,count,0.0,4,Q7 aggressive scenario.
breach_rate_90,float64,Phase B,breach_count_90 / entire_home_count.,ratio 0–1,10.7,0.5,
breach_rate_60,float64,Phase B,breach_count_60 / entire_home_count.,ratio 0–1,10.7,0.75,
breach_rate_30,float64,Phase B,breach_count_30 / entire_home_count.,ratio 0–1,10.7,1.0,
reside_unregistered_count,int64,Phase B,Entire homes without a registration on record.,count,0.0,0,Q7 RESIDE simulation (BCN-meaningful).
reside_unregistered_share,float64,Phase B,reside_unregistered_count / entire_home_count.,ratio 0–1,10.7,0.0,BCN-meaningful only.
professional_management_share,float64,Phase B,"Share of professionally-managed listings, computed only over reported cases.",ratio 0–1,10.7,0.167,Avoids null-imputation bias.
